SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,203954,0022201198,"Apr 06, 2023",PHI vs. MIA,L,30,9,13,0.692,1,2,0.5,2,4,0.5,0,6,6,2,0,2,2,1,21,-11,1
22022,203954,0022201181,"Apr 04, 2023",PHI vs. BOS,W,39,20,25,0.8,0,1,0.0,12,13,0.923,2,11,13,6,0,2,3,3,52,17,1
22022,203954,0022201174,"Apr 02, 2023",PHI @ MIL,L,32,11,25,0.44,1,7,0.143,5,5,1.0,1,8,9,5,0,0,1,4,28,-10,1
22022,203954,0022201150,"Mar 31, 2023",PHI vs. TOR,W,34,7,13,0.538,0,2,0.0,11,12,0.917,1,11,12,1,0,1,5,3,25,0,1
22022,203954,0022201139,"Mar 29, 2023",PHI vs. DAL,W,33,8,17,0.471,1,3,0.333,8,9,0.889,1,8,9,3,1,1,4,4,25,10,1
22022,203954,0022201110,"Mar 25, 2023",PHI @ PHX,L,32,8,19,0.421,1,4,0.25,11,13,0.846,2,8,10,4,0,2,3,1,28,-5,1
22022,203954,0022201103,"Mar 24, 2023",PHI @ GSW,L,38,13,23,0.565,1,5,0.2,19,22,0.864,1,8,9,8,2,1,3,2,46,13,1
22022,203954,0022201087,"Mar 22, 2023",PHI @ CHI,W,16,5,7,0.714,0,2,0.0,2,2,1.0,0,7,7,7,1,1,4,1,12,25,1
22022,203954,0022201072,"Mar 20, 2023",PHI vs. CHI,L,44,11,22,0.5,0,2,0.0,15,17,0.882,3,13,16,1,1,3,5,6,37,8,1
22022,203954,0022201057,"Mar 18, 2023",PHI @ IND,W,30,10,15,0.667,1,3,0.333,10,13,0.769,2,5,7,7,0,2,1,2,31,15,1
22022,203954,0022201047,"Mar 17, 2023",PHI @ CHA,W,29,16,21,0.762,0,0,0.0,6,7,0.857,1,12,13,5,0,4,3,1,38,26,1
22022,203954,0022201035,"Mar 15, 2023",PHI @ CLE,W,38,12,19,0.632,2,5,0.4,10,10,1.0,3,15,18,3,0,4,6,5,36,15,1
22022,203954,0022201016,"Mar 12, 2023",PHI vs. WAS,W,31,12,21,0.571,0,3,0.0,10,12,0.833,3,5,8,4,1,4,1,1,34,13,1
22022,203954,0022200998,"Mar 10, 2023",PHI vs. POR,W,38,13,20,0.65,0,1,0.0,13,18,0.722,1,6,7,4,2,3,4,2,39,2,1
22022,203954,0022200980,"Mar 07, 2023",PHI @ MIN,W,28,13,22,0.591,4,4,1.0,9,9,1.0,1,6,7,4,1,3,3,2,39,18,1
22022,203954,0022200972,"Mar 06, 2023",PHI @ IND,W,37,11,16,0.688,1,2,0.5,19,19,1.0,1,4,5,3,2,1,4,4,42,-4,1
22022,203954,0022200960,"Mar 04, 2023",PHI @ MIL,W,37,11,22,0.5,3,5,0.6,6,10,0.6,0,6,6,10,0,0,1,5,31,-7,1
22022,203954,0022200943,"Mar 02, 2023",PHI @ DAL,L,36,13,21,0.619,0,1,0.0,9,13,0.692,4,4,8,1,2,0,3,5,35,-16,1
22022,203954,0022200920,"Feb 27, 2023",PHI vs. MIA,L,34,10,17,0.588,0,1,0.0,7,7,1.0,3,9,12,2,0,1,6,4,27,-2,1
