SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1628381,0022201205,"Apr 07, 2023",ATL vs. PHI,L,32,7,12,0.583,3,7,0.429,2,3,0.667,0,8,8,0,0,1,2,4,19,-14,1
22022,1628381,0022201191,"Apr 05, 2023",ATL vs. WAS,W,26,6,8,0.75,3,4,0.75,8,8,1.0,0,3,3,0,0,0,0,4,23,12,1
22022,1628381,0022201182,"Apr 04, 2023",ATL @ CHI,W,24,3,9,0.333,0,2,0.0,3,3,1.0,1,5,6,2,0,2,0,2,9,11,1
22022,1628381,0022201167,"Apr 02, 2023",ATL vs. DAL,W,34,5,10,0.5,4,6,0.667,4,8,0.5,3,7,10,1,2,0,0,2,18,6,1
22022,1628381,0022201153,"Mar 31, 2023",ATL @ BKN,L,28,2,10,0.2,0,6,0.0,1,2,0.5,1,1,2,1,0,0,2,1,5,-24,1
22022,1628381,0022201131,"Mar 28, 2023",ATL vs. CLE,W,29,4,9,0.444,3,4,0.75,1,2,0.5,2,5,7,2,0,0,1,1,12,-12,1
22022,1628381,0022201115,"Mar 26, 2023",ATL vs. MEM,L,30,4,11,0.364,0,1,0.0,1,2,0.5,2,8,10,1,0,0,1,4,9,1,1
22022,1628381,0022201107,"Mar 25, 2023",ATL vs. IND,W,32,9,12,0.75,2,4,0.5,1,2,0.5,0,2,2,3,1,2,0,3,21,-3,1
22022,1628381,0022201090,"Mar 22, 2023",ATL @ MIN,L,33,7,9,0.778,1,2,0.5,1,1,1.0,1,4,5,2,0,0,1,5,16,-3,1
22022,1628381,0022201078,"Mar 21, 2023",ATL vs. DET,W,27,5,10,0.5,2,5,0.4,3,4,0.75,2,6,8,1,1,1,1,0,15,16,1
22022,1628381,0022201065,"Mar 19, 2023",ATL @ SAS,L,28,6,12,0.5,1,4,0.25,1,1,1.0,3,3,6,2,0,0,0,2,14,-6,1
22022,1628381,0022201048,"Mar 17, 2023",ATL vs. GSW,W,29,8,15,0.533,4,7,0.571,2,2,1.0,1,4,5,0,1,1,1,4,22,2,1
22022,1628381,0022201021,"Mar 13, 2023",ATL vs. MIN,L,27,2,6,0.333,0,2,0.0,2,2,1.0,1,4,5,2,0,0,1,3,6,-21,1
22022,1628381,0022201008,"Mar 11, 2023",ATL vs. BOS,L,30,5,13,0.385,0,3,0.0,1,1,1.0,0,9,9,1,0,1,1,4,11,1,1
22022,1628381,0022200999,"Mar 10, 2023",ATL @ WAS,W,28,3,7,0.429,0,3,0.0,1,1,1.0,2,2,4,3,2,1,1,3,7,-7,1
