SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1630166,0022500634,"Jan 22, 2026",POR vs. MIA,W,18,6,11,0.545,2,5,0.4,6,6,1.0,3,4,7,4,0,0,3,3,20,3,1
22025,1630166,0022500606,"Jan 18, 2026",POR @ SAC,W,32,10,18,0.556,2,6,0.333,8,8,1.0,1,7,8,8,0,1,3,1,30,4,1
22025,1630166,0022500551,"Jan 11, 2026",POR vs. NYK,L,38,8,17,0.471,1,5,0.2,8,10,0.8,0,5,5,4,3,1,5,2,25,-13,1
22025,1630166,0022500540,"Jan 09, 2026",POR vs. HOU,W,36,5,15,0.333,2,6,0.333,8,8,1.0,1,2,3,6,2,0,5,1,20,3,1
22025,1630166,0022500527,"Jan 07, 2026",POR vs. HOU,W,39,13,24,0.542,2,9,0.222,13,15,0.867,0,6,6,2,1,0,5,1,41,0,1
22025,1630166,0022500509,"Jan 05, 2026",POR vs. UTA,W,29,10,19,0.526,4,10,0.4,9,10,0.9,0,8,8,9,0,0,2,0,33,23,1
22025,1630166,0022500490,"Jan 03, 2026",POR @ SAS,W,39,9,22,0.409,3,6,0.5,8,11,0.727,3,7,10,10,0,1,2,2,29,10,1
22025,1630166,0022500482,"Jan 02, 2026",POR @ NOP,W,38,10,19,0.526,3,5,0.6,11,14,0.786,3,4,7,11,1,1,2,4,34,14,1
22025,1630166,0022500470,"Dec 31, 2025",POR @ OKC,L,32,5,14,0.357,1,4,0.25,6,7,0.857,0,7,7,7,2,1,7,1,17,-22,1
22025,1630166,0022500457,"Dec 29, 2025",POR vs. DAL,W,39,9,18,0.5,1,6,0.167,8,12,0.667,0,9,9,11,2,0,6,4,27,5,1
22025,1630166,0022500444,"Dec 28, 2025",POR vs. BOS,W,39,8,16,0.5,3,10,0.3,5,10,0.5,1,6,7,10,2,1,5,1,24,8,1
22025,1630166,0022500431,"Dec 26, 2025",POR vs. LAC,L,39,10,18,0.556,2,7,0.286,7,8,0.875,1,8,9,9,0,1,7,3,29,-22,1
22025,1630166,0022500420,"Dec 23, 2025",POR vs. ORL,L,37,10,25,0.4,2,6,0.333,3,4,0.75,0,6,6,8,2,0,4,3,25,-4,1
22025,1630166,0022500408,"Dec 22, 2025",POR vs. DET,L,39,4,12,0.333,1,4,0.25,9,15,0.6,0,8,8,9,0,1,3,1,18,-7,1
22025,1630166,0022500394,"Dec 20, 2025",POR @ SAC,W,40,6,18,0.333,3,9,0.333,9,10,0.9,0,7,7,11,1,0,5,5,24,16,1
22025,1630166,0022500380,"Dec 18, 2025",POR vs. SAC,W,42,12,19,0.632,1,5,0.2,10,12,0.833,1,4,5,5,1,0,5,2,35,4,1
22025,1630166,0022501221,"Dec 14, 2025",POR vs. GSW,W,33,6,16,0.375,2,4,0.5,12,13,0.923,0,7,7,8,1,0,4,2,26,-3,1
22025,1630166,0022501207,"Dec 11, 2025",POR @ NOP,L,32,5,15,0.333,1,5,0.2,5,7,0.714,0,6,6,6,1,2,2,1,16,-12,1
22025,1630166,0022500360,"Dec 07, 2025",POR @ MEM,L,31,7,14,0.5,2,4,0.5,1,3,0.333,1,6,7,7,3,1,5,5,17,-17,1
22025,1630166,0022500342,"Dec 05, 2025",POR @ DET,L,38,9,16,0.563,3,7,0.429,14,15,0.933,2,7,9,7,1,0,4,4,35,4,1
22025,1630166,0022500324,"Dec 03, 2025",POR @ CLE,W,36,5,10,0.5,1,5,0.2,16,17,0.941,0,8,8,7,1,0,4,4,27,12,1
22025,1630166,0022500319,"Dec 02, 2025",POR @ TOR,L,37,6,15,0.4,3,7,0.429,10,15,0.667,0,8,8,14,0,0,4,2,25,11,1
22025,1630166,0022500305,"Nov 30, 2025",POR vs. OKC,L,37,6,14,0.429,0,4,0.0,19,23,0.826,3,16,19,10,1,0,1,1,31,4,1
22025,1630166,0022500067,"Nov 26, 2025",POR vs. SAS,L,40,12,19,0.632,5,8,0.625,8,14,0.571,2,4,6,8,0,1,6,4,37,-7,1
22025,1630166,0022500288,"Nov 24, 2025",POR @ MIL,W,31,6,13,0.462,5,7,0.714,5,8,0.625,0,4,4,5,0,1,4,3,22,-1,1
22025,1630166,0022500280,"Nov 23, 2025",POR @ OKC,L,24,4,16,0.25,1,8,0.125,2,3,0.667,1,4,5,1,1,0,2,2,11,-4,1
22025,1630166,0022500056,"Nov 21, 2025",POR @ GSW,W,40,6,14,0.429,2,7,0.286,12,13,0.923,2,4,6,13,0,0,6,1,26,2,1
22025,1630166,0022500263,"Nov 19, 2025",POR vs. CHI,L,38,11,22,0.5,3,7,0.429,7,12,0.583,1,10,11,11,2,1,3,2,32,6,1
22025,1630166,0022500254,"Nov 18, 2025",POR vs. PHX,L,29,7,17,0.412,2,6,0.333,3,4,0.75,1,4,5,5,0,0,1,2,19,-23,1
22025,1630166,0022500238,"Nov 16, 2025",POR @ DAL,L,39,10,20,0.5,2,7,0.286,7,7,1.0,2,4,6,7,0,2,4,6,29,-11,1
22025,1630166,0022500042,"Nov 14, 2025",POR @ HOU,L,30,7,15,0.467,2,5,0.4,6,7,0.857,2,8,10,4,0,0,7,4,22,-14,1
22025,1630166,0022500219,"Nov 12, 2025",POR @ NOP,W,35,12,18,0.667,4,8,0.5,4,5,0.8,0,1,1,2,1,0,0,5,32,16,1
22025,1630166,0022500200,"Nov 10, 2025",POR @ ORL,L,35,7,18,0.389,4,9,0.444,9,10,0.9,1,4,5,5,0,1,2,5,27,-11,1
22025,1630166,0022500187,"Nov 08, 2025",POR @ MIA,L,37,12,21,0.571,3,9,0.333,6,7,0.857,1,10,11,8,0,1,3,5,33,24,1
22025,1630166,0022500180,"Nov 05, 2025",POR vs. OKC,W,37,5,17,0.294,1,5,0.2,15,16,0.938,3,7,10,9,2,1,3,3,26,6,1
22025,1630166,0022500163,"Nov 03, 2025",POR vs. LAL,L,36,10,20,0.5,3,9,0.333,10,11,0.909,1,5,6,2,1,1,5,2,33,-2,1
22025,1630166,0022500026,"Oct 31, 2025",POR vs. DEN,W,33,7,13,0.538,2,4,0.5,7,9,0.778,1,3,4,4,0,0,4,5,23,17,1
22025,1630166,0022500135,"Oct 29, 2025",POR @ UTA,W,34,6,12,0.5,0,5,0.0,7,10,0.7,2,7,9,5,1,1,6,3,19,6,1
22025,1630166,0022500122,"Oct 27, 2025",POR @ LAL,W,32,8,17,0.471,5,8,0.625,4,4,1.0,1,3,4,4,1,3,3,2,25,-2,1
22025,1630166,0022500112,"Oct 26, 2025",POR @ LAC,L,33,7,16,0.438,3,7,0.429,6,7,0.857,1,6,7,5,1,0,5,2,23,-6,1
22025,1630166,0022500097,"Oct 24, 2025",POR vs. GSW,W,29,11,18,0.611,4,6,0.667,0,0,0.0,2,3,5,6,0,0,3,4,26,16,1
22025,1630166,0022500089,"Oct 22, 2025",POR vs. MIN,L,33,6,16,0.375,0,6,0.0,8,10,0.8,0,7,7,1,0,1,2,2,20,-2,1
