SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1631106,0022500662,"Jan 26, 2026",HOU vs. MEM,W,27,6,17,0.353,4,8,0.5,1,2,0.5,2,5,7,0,2,1,3,1,17,10,1
22025,1631106,0022500628,"Jan 22, 2026",HOU @ PHI,L,28,5,12,0.417,3,7,0.429,0,1,0.0,3,6,9,2,4,0,1,2,13,-18,1
22025,1631106,0022500615,"Jan 20, 2026",HOU vs. SAS,W,20,3,6,0.5,0,0,0.0,0,0,0.0,2,4,6,1,1,1,3,2,6,-3,1
22025,1631106,0022500540,"Jan 09, 2026",HOU @ POR,L,16,2,4,0.5,1,2,0.5,1,2,0.5,2,1,3,2,2,1,3,3,6,-1,1
22025,1631106,0022500527,"Jan 07, 2026",HOU @ POR,L,31,5,18,0.278,2,8,0.25,3,4,0.75,6,7,13,3,1,1,3,4,15,3,1
22025,1631106,0022500505,"Jan 05, 2026",HOU vs. PHX,W,30,5,15,0.333,2,6,0.333,0,0,0.0,2,6,8,2,1,0,1,0,12,4,1
22025,1631106,0022500491,"Jan 03, 2026",HOU @ DAL,L,34,7,17,0.412,3,6,0.5,2,2,1.0,2,8,10,2,2,0,2,1,19,10,1
22025,1631106,0022500471,"Jan 01, 2026",HOU @ BKN,W,22,6,7,0.857,2,2,1.0,1,2,0.5,2,7,9,0,1,1,1,3,15,15,1
22025,1631106,0022500453,"Dec 29, 2025",HOU vs. IND,W,29,5,8,0.625,1,3,0.333,2,2,1.0,3,5,8,1,1,1,2,3,13,9,1
22025,1631106,0022500438,"Dec 27, 2025",HOU vs. CLE,W,21,3,6,0.5,2,3,0.667,1,2,0.5,3,3,6,0,2,1,2,5,9,6,1
22025,1631106,0022500012,"Dec 25, 2025",HOU @ LAL,W,26,6,14,0.429,1,5,0.2,0,2,0.0,1,2,3,2,4,2,1,4,13,23,1
22025,1631106,0022500422,"Dec 23, 2025",HOU @ LAC,L,18,3,7,0.429,1,5,0.2,0,0,0.0,1,4,5,0,0,1,0,2,7,-16,1
22025,1631106,0022500401,"Dec 21, 2025",HOU @ SAC,L,16,6,8,0.75,3,3,1.0,1,2,0.5,2,1,3,3,1,0,0,0,16,-3,1
22025,1631106,0022500042,"Nov 14, 2025",HOU vs. POR,W,11,1,6,0.167,1,4,0.25,0,0,0.0,3,2,5,2,1,0,1,2,3,4,1
22025,1631106,0022500218,"Nov 12, 2025",HOU vs. WAS,W,21,7,12,0.583,4,6,0.667,2,2,1.0,4,2,6,0,0,0,0,2,20,13,1
22025,1631106,0022500191,"Nov 09, 2025",HOU @ MIL,W,19,3,8,0.375,0,5,0.0,0,0,0.0,2,6,8,0,0,0,0,2,6,-12,1
22025,1631106,0022500032,"Nov 07, 2025",HOU @ SAS,L,25,4,6,0.667,3,4,0.75,0,0,0.0,1,2,3,2,2,0,4,0,11,-5,1
22025,1631106,0022500176,"Nov 05, 2025",HOU @ MEM,W,32,5,13,0.385,4,8,0.5,2,2,1.0,1,4,5,1,1,1,0,3,16,5,1
22025,1631106,0022500160,"Nov 03, 2025",HOU vs. DAL,W,30,6,9,0.667,3,5,0.6,0,0,0.0,0,4,4,2,2,1,1,0,15,8,1
22025,1631106,0022500146,"Nov 01, 2025",HOU @ BOS,W,20,4,7,0.571,4,6,0.667,0,0,0.0,1,5,6,0,0,1,3,2,12,15,1
22025,1631106,0022500131,"Oct 29, 2025",HOU @ TOR,W,23,6,11,0.545,2,3,0.667,0,0,0.0,1,4,5,4,2,0,5,2,14,4,1
22025,1631106,0022500116,"Oct 27, 2025",HOU vs. BKN,W,26,8,12,0.667,5,7,0.714,1,3,0.333,0,5,5,5,0,1,0,2,22,21,1
22025,1631106,0022500093,"Oct 24, 2025",HOU vs. DET,L,28,2,5,0.4,0,1,0.0,0,0,0.0,3,2,5,2,1,0,1,2,4,-5,1
22025,1631106,0022500001,"Oct 21, 2025",HOU @ OKC,L,22,1,6,0.167,1,4,0.25,0,0,0.0,0,6,6,0,0,1,4,1,3,-4,1
