SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1629630,0022500623,"Jan 21, 2026",MEM vs. ATL,L,30,7,15,0.467,1,4,0.25,8,8,1.0,1,1,2,12,1,3,5,4,23,1,1
22025,1629630,0022500602,"Jan 18, 2026",MEM vs. ORL,W,28,7,13,0.538,3,4,0.75,7,9,0.778,0,5,5,13,1,0,2,2,24,26,1
22025,1629630,0022500485,"Jan 02, 2026",MEM @ LAL,L,31,7,18,0.389,0,3,0.0,2,3,0.667,0,3,3,11,2,0,3,1,16,-21,1
22025,1629630,0022500458,"Dec 30, 2025",MEM vs. PHI,L,34,16,22,0.727,0,2,0.0,8,10,0.8,0,2,2,3,2,0,4,0,40,11,1
22025,1629630,0022500443,"Dec 28, 2025",MEM @ WAS,L,27,8,16,0.5,3,5,0.6,2,2,1.0,0,0,0,7,0,0,3,0,21,-22,1
22025,1629630,0022500428,"Dec 26, 2025",MEM vs. MIL,W,25,6,11,0.545,0,0,0.0,5,6,0.833,0,4,4,10,1,0,4,4,17,12,1
22025,1629630,0022501226,"Dec 15, 2025",MEM @ LAC,W,21,4,12,0.333,1,2,0.5,3,3,1.0,1,2,3,4,1,1,1,1,12,-8,1
22025,1629630,0022501213,"Dec 12, 2025",MEM vs. UTA,L,25,7,20,0.35,2,5,0.4,5,7,0.714,0,4,4,10,0,1,4,1,21,1,1
22025,1629630,0022500228,"Nov 15, 2025",MEM @ CLE,L,6,2,2,1.0,0,0,0.0,3,4,0.75,1,0,1,2,0,0,1,0,7,4,1
22025,1629630,0022500208,"Nov 11, 2025",MEM @ NYK,L,34,4,14,0.286,2,6,0.333,6,6,1.0,0,3,3,10,0,0,8,3,16,-17,1
22025,1629630,0022500194,"Nov 09, 2025",MEM vs. OKC,L,34,3,18,0.167,2,7,0.286,3,4,0.75,0,3,3,8,1,0,3,5,11,-23,1
22025,1629630,0022500034,"Nov 07, 2025",MEM vs. DAL,W,32,7,20,0.35,0,4,0.0,7,7,1.0,1,4,5,13,3,0,7,5,21,28,1
22025,1629630,0022500176,"Nov 05, 2025",MEM vs. HOU,L,34,6,19,0.316,1,7,0.143,4,4,1.0,2,3,5,8,1,1,6,3,17,-15,1
22025,1629630,0022500161,"Nov 03, 2025",MEM vs. DET,L,35,5,16,0.313,0,4,0.0,8,9,0.889,0,5,5,10,1,0,5,2,18,-5,1
22025,1629630,0022500024,"Oct 31, 2025",MEM vs. LAL,L,31,3,14,0.214,0,6,0.0,2,2,1.0,0,1,1,7,1,0,1,1,8,-4,1
22025,1629630,0022500137,"Oct 29, 2025",MEM @ PHX,W,32,10,19,0.526,3,8,0.375,5,5,1.0,1,7,8,7,2,0,6,1,28,13,1
22025,1629630,0022500121,"Oct 27, 2025",MEM @ GSW,L,31,8,23,0.348,0,6,0.0,7,7,1.0,0,3,3,9,1,0,3,0,23,-16,1
22025,1629630,0022500103,"Oct 25, 2025",MEM vs. IND,W,27,5,14,0.357,0,2,0.0,9,9,1.0,0,3,3,8,1,0,0,3,19,7,1
22025,1629630,0022500094,"Oct 24, 2025",MEM vs. MIA,L,22,4,16,0.25,0,4,0.0,4,4,1.0,1,1,2,6,0,0,3,2,12,-22,1
22025,1629630,0022500085,"Oct 22, 2025",MEM vs. NOP,W,29,13,20,0.65,2,6,0.333,7,8,0.875,0,3,3,3,1,0,2,2,35,0,1
