SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1641705,0022301180,"Apr 12, 2024",SAS vs. DEN,W,37,12,27,0.444,5,12,0.417,5,7,0.714,1,11,12,5,1,2,7,1,34,-11,1
22023,1641705,0022301151,"Apr 09, 2024",SAS @ MEM,W,31,9,19,0.474,0,5,0.0,0,0,0.0,1,6,7,6,0,7,1,1,18,15,1
22023,1641705,0022301140,"Apr 07, 2024",SAS vs. PHI,L,43,11,20,0.55,5,10,0.5,6,7,0.857,3,15,18,6,0,7,9,1,33,-1,1
22023,1641705,0022301123,"Apr 05, 2024",SAS @ NOP,W,34,5,12,0.417,3,6,0.5,4,4,1.0,2,10,12,9,1,3,2,1,17,4,1
22023,1641705,0022301099,"Apr 02, 2024",SAS @ DEN,L,34,9,29,0.31,2,11,0.182,3,6,0.5,5,10,15,8,1,9,2,3,23,-9,1
22023,1641705,0022301085,"Mar 31, 2024",SAS vs. GSW,L,31,10,22,0.455,3,10,0.3,9,10,0.9,1,8,9,5,4,3,5,2,32,-11,1
22023,1641705,0022301070,"Mar 29, 2024",SAS vs. NYK,W,38,13,22,0.591,4,9,0.444,10,12,0.833,5,15,20,7,2,1,4,2,40,1,1
22023,1641705,0022301058,"Mar 27, 2024",SAS @ UTA,W,30,7,15,0.467,1,4,0.25,4,7,0.571,2,6,8,6,0,5,6,4,19,10,1
22023,1641705,0022301025,"Mar 23, 2024",SAS vs. PHX,L,21,5,7,0.714,1,2,0.5,2,2,1.0,1,4,5,4,0,1,5,0,13,-13,1
22023,1641705,0022301015,"Mar 22, 2024",SAS vs. MEM,L,33,11,24,0.458,3,12,0.25,6,10,0.6,5,11,16,5,2,3,7,2,31,15,1
22023,1641705,0022300994,"Mar 19, 2024",SAS vs. DAL,L,32,3,13,0.231,0,4,0.0,6,7,0.857,3,8,11,3,1,6,5,4,12,5,1
22023,1641705,0022300981,"Mar 17, 2024",SAS vs. BKN,W,36,14,26,0.538,1,7,0.143,4,6,0.667,4,11,15,7,0,7,4,1,33,5,1
22023,1641705,0022300965,"Mar 15, 2024",SAS vs. DEN,L,33,4,12,0.333,1,5,0.2,8,9,0.889,4,5,9,2,2,3,4,5,17,-3,1
22023,1641705,0022300942,"Mar 12, 2024",SAS vs. HOU,L,31,5,12,0.417,2,7,0.286,1,1,1.0,1,9,10,6,1,2,2,2,13,5,1
22023,1641705,0022300936,"Mar 11, 2024",SAS vs. GSW,L,31,10,25,0.4,3,9,0.333,4,9,0.444,2,12,14,3,1,2,3,1,27,-1,1
22023,1641705,0022300891,"Mar 05, 2024",SAS @ HOU,L,31,4,10,0.4,2,5,0.4,0,0,0.0,2,9,11,3,0,7,6,4,10,-12,1
