SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630174,0022201220,"Apr 09, 2023",IND @ NYK,W,25,5,7,0.714,1,2,0.5,3,3,1.0,0,5,5,1,1,3,0,3,14,-19,1
22022,1630174,0022201203,"Apr 07, 2023",IND vs. DET,L,17,4,9,0.444,2,4,0.5,0,1,0.0,0,2,2,1,0,0,0,4,10,3,1
22022,1630174,0022201190,"Apr 05, 2023",IND vs. NYK,L,26,2,5,0.4,2,4,0.5,6,6,1.0,1,3,4,0,1,0,1,0,12,-27,1
22022,1630174,0022201173,"Apr 02, 2023",IND @ CLE,L,32,4,9,0.444,3,4,0.75,3,6,0.5,2,4,6,2,0,0,0,3,14,-17,1
22022,1630174,0022201149,"Mar 31, 2023",IND vs. OKC,W,25,3,11,0.273,2,7,0.286,1,1,1.0,4,2,6,2,1,0,1,2,9,-6,1
22022,1630174,0022201136,"Mar 29, 2023",IND vs. MIL,L,31,7,9,0.778,5,5,1.0,3,4,0.75,0,2,2,3,3,1,1,3,22,-13,1
22022,1630174,0022201123,"Mar 27, 2023",IND vs. DAL,L,34,1,10,0.1,1,5,0.2,1,1,1.0,0,1,1,3,0,1,1,4,4,-35,1
22022,1630174,0022201107,"Mar 25, 2023",IND @ ATL,L,22,5,10,0.5,1,3,0.333,0,0,0.0,1,2,3,2,0,1,2,1,11,8,1
22022,1630174,0022201097,"Mar 24, 2023",IND @ BOS,L,20,1,5,0.2,0,2,0.0,1,2,0.5,0,2,2,2,0,0,3,3,3,-12,1
22022,1630174,0022201085,"Mar 22, 2023",IND @ TOR,W,26,3,7,0.429,1,5,0.2,2,2,1.0,0,6,6,2,1,0,2,4,9,5,1
22022,1630174,0022201071,"Mar 20, 2023",IND @ CHA,L,17,2,4,0.5,0,2,0.0,0,0,0.0,0,2,2,2,1,1,3,5,4,-5,1
22022,1630174,0022201057,"Mar 18, 2023",IND vs. PHI,L,32,9,16,0.563,4,9,0.444,3,3,1.0,3,3,6,2,1,0,2,3,25,-20,1
22022,1630174,0022201045,"Mar 16, 2023",IND @ MIL,W,31,8,11,0.727,6,9,0.667,0,0,0.0,2,3,5,0,0,1,0,3,22,0,1
22022,1630174,0022201020,"Mar 13, 2023",IND @ DET,L,31,5,11,0.455,2,6,0.333,3,4,0.75,2,4,6,4,2,1,4,1,15,-1,1
22022,1630174,0022201006,"Mar 11, 2023",IND @ DET,W,21,1,5,0.2,0,3,0.0,4,6,0.667,0,3,3,2,0,0,0,2,6,-12,1
22022,1630174,0022200993,"Mar 09, 2023",IND vs. HOU,W,38,4,10,0.4,2,6,0.333,0,0,0.0,1,6,7,2,1,1,2,1,10,20,1
22022,1630174,0022200944,"Mar 02, 2023",IND @ SAS,L,16,0,4,0.0,0,2,0.0,0,0,0.0,1,2,3,0,0,0,0,1,0,-6,1
22022,1630174,0022200929,"Feb 28, 2023",IND @ DAL,W,19,5,7,0.714,2,4,0.5,2,3,0.667,0,1,1,1,0,1,2,4,14,-2,1
