SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,203967,0022301198,"Apr 14, 2024",GSW vs. UTA,W,13,4,6,0.667,1,2,0.5,3,4,0.75,2,3,5,1,0,1,3,0,12,-2,1
22023,203967,0022301169,"Apr 11, 2024",GSW @ POR,W,6,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,1,0,1,1,0,4,1
22023,203967,0022301001,"Mar 20, 2024",GSW vs. MEM,W,5,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-4,1
22023,203967,0022300952,"Mar 13, 2024",GSW @ DAL,L,8,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,0,0,-8,1
22023,203967,0022300921,"Mar 09, 2024",GSW vs. SAS,L,3,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,-6,1
22023,203967,0022300899,"Mar 06, 2024",GSW vs. MIL,W,4,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,1,0,0,9,1
22023,203967,0022300872,"Mar 03, 2024",GSW @ BOS,L,13,2,4,0.5,0,2,0.0,0,1,0.0,0,2,2,0,0,0,1,0,4,-14,1
22023,203967,0022300860,"Mar 01, 2024",GSW @ TOR,W,6,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,2,0,0,1,0,2,-2,1
22023,203967,0022300852,"Feb 29, 2024",GSW @ NYK,W,11,0,3,0.0,0,3,0.0,0,0,0.0,3,0,3,3,0,0,0,1,0,-3,1
22023,203967,0022300834,"Feb 27, 2024",GSW @ WAS,W,14,2,5,0.4,1,2,0.5,0,0,0.0,0,0,0,1,0,0,3,0,5,-3,1
22023,203967,0022300824,"Feb 25, 2024",GSW vs. DEN,L,9,2,4,0.5,0,1,0.0,0,0,0.0,0,4,4,2,0,0,1,0,4,6,1
22023,203967,0022300811,"Feb 23, 2024",GSW vs. CHA,W,16,1,4,0.25,0,2,0.0,0,0,0.0,0,4,4,3,0,0,4,1,2,0,1
22023,203967,0022300802,"Feb 22, 2024",GSW vs. LAL,W,15,2,6,0.333,0,3,0.0,0,0,0.0,2,2,4,4,0,0,1,1,4,-7,1
22023,203967,0022300576,"Feb 15, 2024",GSW @ UTA,W,10,2,4,0.5,1,3,0.333,2,2,1.0,1,2,3,2,0,0,1,2,7,4,1
22023,203967,0022300789,"Feb 14, 2024",GSW vs. LAC,L,6,0,2,0.0,0,2,0.0,0,0,0.0,1,0,1,1,0,1,0,2,0,0,1
22023,203967,0022300769,"Feb 12, 2024",GSW @ UTA,W,12,0,3,0.0,0,2,0.0,0,0,0.0,0,3,3,1,0,0,0,1,0,-4,1
22023,203967,0022300757,"Feb 10, 2024",GSW vs. PHX,W,11,0,3,0.0,0,1,0.0,0,0,0.0,0,1,1,2,1,0,0,1,0,-10,1
22023,203967,0022300733,"Feb 08, 2024",GSW @ IND,W,18,4,6,0.667,2,3,0.667,1,1,1.0,2,5,7,3,0,0,2,1,11,12,1
