SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1631097,0022500659,"Jan 26, 2026",IND @ ATL,L,25,6,10,0.6,2,3,0.667,2,3,0.667,0,2,2,1,1,0,1,1,16,-25,1
22025,1631097,0022500476,"Jan 02, 2026",IND vs. SAS,L,20,1,6,0.167,0,1,0.0,0,0,0.0,0,5,5,3,0,0,1,5,2,-12,1
22025,1631097,0022500464,"Dec 31, 2025",IND vs. ORL,L,37,4,10,0.4,2,6,0.333,13,13,1.0,0,5,5,2,0,0,5,1,23,-7,1
22025,1631097,0022500453,"Dec 29, 2025",IND @ HOU,L,26,5,11,0.455,3,6,0.5,1,1,1.0,1,2,3,4,0,0,0,3,14,-13,1
22025,1631097,0022500436,"Dec 27, 2025",IND @ MIA,L,35,9,16,0.563,3,7,0.429,4,5,0.8,0,6,6,0,2,0,5,2,25,-17,1
22025,1631097,0022500426,"Dec 26, 2025",IND vs. BOS,L,30,5,13,0.385,1,5,0.2,2,2,1.0,1,3,4,4,1,0,1,3,13,-13,1
22025,1631097,0022500413,"Dec 23, 2025",IND vs. MIL,L,34,3,10,0.3,1,4,0.25,6,6,1.0,0,6,6,1,0,0,1,2,13,-5,1
22025,1631097,0022500403,"Dec 22, 2025",IND @ BOS,L,37,7,20,0.35,2,7,0.286,0,0,0.0,3,6,9,0,0,1,0,3,16,-21,1
22025,1631097,0022500389,"Dec 20, 2025",IND @ NOP,L,27,2,9,0.222,0,5,0.0,0,0,0.0,0,4,4,2,1,0,2,2,4,-32,1
22025,1631097,0022500372,"Dec 18, 2025",IND vs. NYK,L,38,7,18,0.389,2,9,0.222,0,0,0.0,1,7,8,2,2,0,2,1,16,9,1
22025,1631097,0022501216,"Dec 14, 2025",IND vs. WAS,L,32,3,9,0.333,1,5,0.2,8,8,1.0,1,3,4,2,0,0,1,5,15,-21,1
22025,1631097,0022501211,"Dec 12, 2025",IND @ PHI,L,30,2,8,0.25,1,4,0.25,2,2,1.0,1,4,5,2,0,1,1,3,7,-16,1
22025,1631097,0022500364,"Dec 08, 2025",IND vs. SAC,W,35,7,14,0.5,4,9,0.444,7,7,1.0,0,6,6,2,1,0,1,3,25,11,1
22025,1631097,0022500345,"Dec 05, 2025",IND @ CHI,W,38,9,16,0.563,6,11,0.545,4,4,1.0,0,5,5,3,2,1,2,4,28,16,1
22025,1631097,0022500325,"Dec 03, 2025",IND vs. DEN,L,28,5,10,0.5,2,3,0.667,3,3,1.0,2,5,7,2,0,0,4,2,15,-25,1
22025,1631097,0022500310,"Dec 01, 2025",IND vs. CLE,L,22,3,9,0.333,2,4,0.5,3,5,0.6,0,4,4,1,0,0,3,3,11,-21,1
22025,1631097,0022500295,"Nov 29, 2025",IND vs. CHI,W,38,8,19,0.421,3,10,0.3,0,0,0.0,0,6,6,3,2,0,5,2,19,3,1
22025,1631097,0022500073,"Nov 28, 2025",IND vs. WAS,W,34,8,16,0.5,3,5,0.6,1,1,1.0,0,2,2,4,1,0,3,1,20,29,1
22025,1631097,0022500063,"Nov 26, 2025",IND @ TOR,L,34,5,15,0.333,4,9,0.444,1,2,0.5,0,3,3,3,1,0,4,3,15,-15,1
22025,1631097,0022500283,"Nov 24, 2025",IND vs. DET,L,28,3,13,0.231,1,4,0.25,7,8,0.875,0,4,4,1,0,0,3,5,14,-5,1
22025,1631097,0022500048,"Nov 21, 2025",IND @ CLE,L,37,7,15,0.467,2,7,0.286,5,5,1.0,3,4,7,2,1,1,3,3,21,-8,1
22025,1631097,0022500256,"Nov 19, 2025",IND vs. CHA,W,34,7,13,0.538,2,5,0.4,8,9,0.889,3,9,12,2,1,0,1,2,24,-2,1
22025,1631097,0022500242,"Nov 17, 2025",IND @ DET,L,25,7,16,0.438,3,9,0.333,8,14,0.571,0,3,3,2,1,0,4,5,25,-16,1
22025,1631097,0022500103,"Oct 25, 2025",IND @ MEM,L,28,8,12,0.667,2,2,1.0,8,9,0.889,0,3,3,4,0,0,1,0,26,-18,1
22025,1631097,0022500005,"Oct 23, 2025",IND vs. OKC,L,45,9,19,0.474,3,8,0.375,15,17,0.882,3,8,11,1,0,0,4,6,36,9,1
