SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1630639,0022301196,"Apr 14, 2024",DAL @ OKC,L,24,5,13,0.385,0,5,0.0,2,2,1.0,1,4,5,2,0,0,1,1,12,-18,1
22023,1630639,0022301181,"Apr 12, 2024",DAL vs. DET,L,22,1,6,0.167,0,2,0.0,0,0,0.0,1,5,6,2,0,0,2,0,2,-4,1
22023,1630639,0022301161,"Apr 10, 2024",DAL @ MIA,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,0,0,4,1
22023,1630639,0022301144,"Apr 09, 2024",DAL @ CHA,W,4,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,2,2,1
22023,1630639,0022301097,"Apr 05, 2024",DAL vs. GSW,W,5,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-1,1
22023,1630639,0022301124,"Apr 04, 2024",DAL vs. ATL,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,2,1
22023,1630639,0022301083,"Mar 31, 2024",DAL @ HOU,W,2,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,1,1
22023,1630639,0022301047,"Mar 26, 2024",DAL @ SAC,W,5,3,3,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,6,7,1
22023,1630639,0022301041,"Mar 25, 2024",DAL @ UTA,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
22023,1630639,0022301008,"Mar 21, 2024",DAL vs. UTA,W,1,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,1
22023,1630639,0022300952,"Mar 13, 2024",DAL vs. GSW,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4,1
22023,1630639,0022300935,"Mar 11, 2024",DAL @ CHI,W,6,1,5,0.2,0,2,0.0,1,2,0.5,0,1,1,1,1,0,0,1,3,2,1
22023,1630639,0022300919,"Mar 09, 2024",DAL @ DET,W,3,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-2,1
22023,1630639,0022300892,"Mar 05, 2024",DAL vs. IND,L,2,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1,1
22023,1630639,0022300844,"Feb 28, 2024",DAL @ TOR,W,1,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,-1,1
22023,1630639,0022300785,"Feb 14, 2024",DAL vs. SAS,W,5,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,-2,1
22023,1630639,0022300768,"Feb 12, 2024",DAL vs. WAS,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
22023,1630639,0022300748,"Feb 10, 2024",DAL vs. OKC,W,6,2,4,0.5,1,2,0.5,0,0,0.0,1,1,2,0,0,0,0,2,5,0,1
