SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22024,1642366,0022401198,"Apr 13, 2025",GSW vs. LAC,L,10,0,1,0.0,0,1,0.0,0,0,0.0,0,3,3,0,0,0,0,0,0,1,1
22024,1642366,0022401183,"Apr 11, 2025",GSW @ POR,W,16,3,7,0.429,2,5,0.4,2,2,1.0,0,1,1,1,0,1,0,1,10,7,1
22024,1642366,0022401143,"Apr 06, 2025",GSW vs. HOU,L,7,1,1,1.0,0,0,0.0,0,2,0.0,0,0,0,0,0,0,0,0,2,-2,1
22024,1642366,0022401125,"Apr 04, 2025",GSW vs. DEN,W,13,1,4,0.25,1,2,0.5,0,0,0.0,1,3,4,0,0,0,0,2,3,6,1
22024,1642366,0022401117,"Apr 03, 2025",GSW @ LAL,W,15,1,4,0.25,0,2,0.0,2,2,1.0,0,3,3,1,0,0,1,4,4,7,1
22024,1642366,0022401100,"Apr 01, 2025",GSW @ MEM,W,20,3,10,0.3,3,9,0.333,0,0,0.0,0,1,1,1,0,0,0,2,9,-1,1
22024,1642366,0022401086,"Mar 30, 2025",GSW @ SAS,W,18,3,9,0.333,1,6,0.167,0,0,0.0,0,2,2,1,1,0,1,1,7,2,1
22024,1642366,0022401072,"Mar 28, 2025",GSW @ NOP,W,18,5,11,0.455,3,9,0.333,2,2,1.0,3,3,6,2,0,0,1,2,15,10,1
22024,1642366,0022401047,"Mar 25, 2025",GSW @ MIA,L,14,1,5,0.2,1,4,0.25,0,0,0.0,0,1,1,3,0,0,4,2,3,-15,1
22024,1642366,0022401025,"Mar 22, 2025",GSW @ ATL,L,28,4,6,0.667,3,4,0.75,0,0,0.0,0,4,4,1,0,1,0,2,11,-2,1
22024,1642366,0022401005,"Mar 20, 2025",GSW vs. TOR,W,22,6,10,0.6,6,9,0.667,0,0,0.0,0,2,2,0,1,1,0,2,18,5,1
22024,1642366,0022401012,"Mar 18, 2025",GSW vs. MIL,W,23,5,10,0.5,4,9,0.444,0,0,0.0,1,3,4,3,1,0,3,5,14,9,1
22024,1642366,0022400990,"Mar 17, 2025",GSW vs. DEN,L,8,2,3,0.667,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,0,4,-9,1
22024,1642366,0022400974,"Mar 15, 2025",GSW vs. NYK,W,19,2,4,0.5,1,3,0.333,0,0,0.0,2,4,6,2,0,1,0,2,5,2,1
22024,1642366,0022400957,"Mar 13, 2025",GSW vs. SAC,W,21,3,7,0.429,3,7,0.429,1,2,0.5,1,3,4,0,1,1,2,2,10,9,1
22024,1642366,0022400938,"Mar 10, 2025",GSW vs. POR,W,25,4,10,0.4,3,5,0.6,0,0,0.0,1,6,7,2,1,3,1,5,11,-2,1
22024,1642366,0022400919,"Mar 08, 2025",GSW vs. DET,W,20,3,10,0.3,0,5,0.0,0,0,0.0,0,2,2,1,1,0,0,5,6,0,1
22024,1642366,0022400901,"Mar 06, 2025",GSW @ BKN,W,21,4,8,0.5,2,4,0.5,0,2,0.0,3,4,7,2,0,2,0,0,10,13,1
22024,1642366,0022400885,"Mar 04, 2025",GSW @ NYK,W,15,1,4,0.25,1,2,0.5,0,0,0.0,0,3,3,0,0,1,3,3,3,5,1
22024,1642366,0022400875,"Mar 03, 2025",GSW @ CHA,W,17,2,6,0.333,2,3,0.667,0,0,0.0,1,2,3,2,1,1,1,2,6,-2,1
22024,1642366,0022400864,"Mar 01, 2025",GSW @ PHI,L,25,6,15,0.4,4,9,0.444,0,0,0.0,1,8,9,1,1,1,2,4,16,-2,1
22024,1642366,0022400845,"Feb 27, 2025",GSW @ ORL,W,24,7,9,0.778,2,4,0.5,2,2,1.0,1,4,5,1,1,1,0,3,18,22,1
22024,1642366,0022400834,"Feb 25, 2025",GSW vs. CHA,W,18,3,8,0.375,1,4,0.25,1,2,0.5,1,2,3,2,2,0,2,4,8,6,1
22024,1642366,0022400812,"Feb 23, 2025",GSW vs. DAL,W,18,3,9,0.333,2,6,0.333,2,2,1.0,2,4,6,3,1,0,1,2,10,0,1
22024,1642366,0022400805,"Feb 21, 2025",GSW @ SAC,W,14,3,5,0.6,3,3,1.0,0,0,0.0,1,4,5,0,1,0,3,0,9,19,1
22024,1642366,0022400784,"Feb 13, 2025",GSW @ HOU,W,7,0,3,0.0,0,3,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,-3,1
22024,1642366,0022400782,"Feb 12, 2025",GSW @ DAL,L,12,2,3,0.667,1,2,0.5,0,0,0.0,1,3,4,0,0,0,0,0,5,-19,1
22024,1642366,0022400760,"Feb 10, 2025",GSW @ MIL,W,15,4,5,0.8,3,4,0.75,2,2,1.0,2,2,4,1,0,0,0,1,13,11,1
22024,1642366,0022400745,"Feb 08, 2025",GSW @ CHI,W,20,7,10,0.7,4,7,0.571,0,0,0.0,1,2,3,2,0,1,1,2,18,11,1
22024,1642366,0022400731,"Feb 06, 2025",GSW @ LAL,L,11,2,5,0.4,2,5,0.4,0,0,0.0,0,2,2,2,0,0,0,2,6,-17,1
22024,1642366,0022400725,"Feb 05, 2025",GSW @ UTA,L,25,5,9,0.556,0,2,0.0,0,0,0.0,3,4,7,3,0,0,0,1,10,-9,1
22024,1642366,0022400708,"Feb 03, 2025",GSW vs. ORL,W,20,2,5,0.4,1,4,0.25,2,2,1.0,0,7,7,3,1,0,0,1,7,6,1
22024,1642366,0022400685,"Jan 31, 2025",GSW vs. PHX,L,19,3,9,0.333,2,4,0.5,1,1,1.0,3,5,8,2,0,1,0,2,9,-17,1
22024,1642366,0022400673,"Jan 29, 2025",GSW vs. OKC,W,8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,3,0,-11,1
22024,1642366,0022400661,"Jan 28, 2025",GSW vs. UTA,W,16,3,10,0.3,2,5,0.4,2,2,1.0,3,2,5,2,0,0,0,4,10,-3,1
22024,1642366,0022400644,"Jan 25, 2025",GSW vs. LAL,L,23,3,7,0.429,2,5,0.4,0,0,0.0,0,2,2,3,1,0,2,3,8,2,1
22024,1642366,0022400628,"Jan 23, 2025",GSW vs. CHI,W,20,7,12,0.583,5,10,0.5,1,1,1.0,1,4,5,3,0,0,1,4,20,13,1
22024,1642366,0022400619,"Jan 22, 2025",GSW @ SAC,L,15,2,5,0.4,1,4,0.25,0,0,0.0,1,5,6,1,0,1,1,5,5,-10,1
22024,1642366,0022400604,"Jan 20, 2025",GSW vs. BOS,L,14,4,8,0.5,1,4,0.25,0,0,0.0,0,1,1,3,0,1,1,0,9,-8,1
22024,1642366,0022400525,"Jan 10, 2025",GSW @ IND,L,7,2,4,0.5,1,2,0.5,1,1,1.0,0,0,0,0,0,0,0,0,6,6,1
22024,1642366,0022400446,"Dec 30, 2024",GSW vs. CLE,L,5,1,2,0.5,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,1,1
22024,1642366,0022400426,"Dec 27, 2024",GSW @ LAC,L,1,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,2,1
